"KUNDNR";"LEISTUNG";"PREIS";"PREISMTL";"TEXT";"BERECHNEN";"GELOESCHT";"ABRECH";"ARTNR";"DATUM";"NRECHNUNG";"FREI1";"FREI2";"FREI3";"ANZAHL";"IDWDIENSTE";"KUNDENNR2";"KUNDENNAME";"KUNDENNAME2";"ANSPRECHPARTNER";"PLZ";"ORT";"STRASSE";"ANREDE";"PROJEKTTEXT"
"1014";"E-Mailtraffic über Pauschale";14,9;;"Gesamttraffic E-Mail Dezember 2005 9,4 GB";"";"";"E";"TRAF-M";"31.12.2005";"";"02.01.2006";"";"";9;"928194314";"";"";"";"";"";"";"";"";""
"1198";"Partnerprovision";162,62;;"";"";"";"E";"PP-E";"31.07.2006";"";"01.08.2006";"";"";1;"105638913";"";"";"";"";"";"";"";"";""
"1014";"E-Mailtraffic über Pauschale";14,9;;"Traffic über PauschaleGesamttraffic April 06 = 2,11 GB";"";"";"E";"TRAF-M";"30.10.2006";"";"30.10.2006";"";"";2;"105858516";"";"";"";"";"";"";"";"";""
"1021";"Standard Hosting";156,56;;"Hosting virtuelle Webserver web9, web105Zeitraum 01.02.06 - 31.12.2006";"";"";"E";"HOS-S";"11.01.2007";"";"11.01.2007";"";"";1;"109401412";"";"";"";"";"";"";"";"";""
"1014";"Server admin.dpmedia.de";97,02;;"Betrieb Server admin.dpmedia.deinkl.  1GB Traffic und 1 h Supportpauschale";"";"31.01.2007";"J";"SERV-M";"01.11.2002";"01.02.2007";"";"";"";1;"225612";"";"";"";"";"";"";"";"";""
"1014";".ch Nameservice + Abwicklung";8;;"Domain exklusivpartner.ch";"";"31.10.2006";"G";"0010";"01.11.2002";"";"";"";"";1;"175914";"";"";"";"";"";"";"";"";""
"1247";"Terminveröffentlichung swingerclubs.de";6,03;;"Termine Mai 2005";"";"";"E";"SC-T";"01.05.2004";"";"02.05.2005";"";"";1;"745492013";"";"";"";"";"";"";"";"";""
"1065";".ch Nameservice und Abwicklung";6;;"Domain dual-look.ch";"";"";"G";"DNS-CH";"01.08.2003";"01.08.2007";"";"";"";1;"144211";"";"";"";"";"";"";"";"";""
"1065";".ch Nameservice und Abwicklung";6;;"Domain rea-sorb.ch";"";"";"G";"DNS-CH";"01.08.2003";"01.08.2007";"";"";"";1;"154211";"";"";"";"";"";"";"";"";""
"1194";"Internettraffic über Pauschale";7;;"Gesamttraffic auf www.gesundehunde.comJuni 2004 = 36,64 GBin Grundtarif enthaltener Traffic 25 GB";"";"";"E";"TRAF-W";"30.06.2004";"";"06.07.2004";"";"";12;"3632212";"";"";"";"";"";"";"";"";""
"1439";"Webentwicklung / Design";251,26;;"Setup www.fengshui-exklusiv.deInstallation + Konfiguration XTC ShoppingsystemAnpassen XTC-VorlagenXTC-Jahressupport";"";"";"E";"WEB";"09.03.2007";"";"09.03.2007";"";"";1;"1086341511";"";"";"";"";"";"";"";"";""
"1065";".ch Nameservice und Abwicklung";6;;"Domain swiss-chronographs.ch";"";"";"G";"DNS-CH";"01.08.2003";"01.08.2007";"";"";"";1;"164311";"";"";"";"";"";"";"";"";""
"1122";"Bannerwerbung";0,75;;"Adwaver Provisionen lt. Abrechnung";"";"";"E";"";"30.11.2002";"";"05.01.2003";"";"";75,2;"232215";"";"";"";"";"";"";"";"";""
"1022";"Update www.radtrainingslager.com";50;;"Einbau und Anpassung NewslettertoolSeitenupdateSonderpreis";"";"";"E";"";"03.01.2003";"";"29.01.2003";"";"";1;"251915";"";"";"";"";"";"";"";"";""
"1123";"Provisionsabrechnung ";244,12;;"Abrechnungsperiode 29.11.2002 bis 12.12.2002lt. beiliegender Abrechnung";"";"";"E";"";"27.12.2002";"";"05.01.2003";"";"";1;"245115";"";"";"";"";"";"";"";"";""
"1131";"Änderung Website www.autohaussaewe.de";70;;"Änderung der Programmierung für mobile.deAnpassung der Navigation";"";"";"E";"";"28.08.2003";"";"28.08.2003";"";"";1;"1483118";"";"";"";"";"";"";"";"";""
"1065";"Arbeitsstunden";30;;"Zusätzlicher Arbeitsaufwand bei Domaintransfers und KKs von Networksolutions und Strato (Apo-Domains)";"";"";"E";"";"18.02.2004";"";"18.02.2004";"";"";4,5;"2665416";"";"";"";"";"";"";"";"";""
"1103";"Verkaufsprovision";103,86;;"";"";"";"E";"";"18.05.2004";"";"18.05.2004";"";"";1;"327910";"";"";"";"";"";"";"";"";""
"1211";"zusätzliche MySQL Datenbank";2;;"";"";"";"J";"MYSQL";"01.07.2004";"01.05.2007";"";"";"";1;"393411";"";"";"";"";"";"";"";"";""
"1014";"Arbeitsstunde Technik";35;;"Anfertigen Liste aller Mailaccounts-,-adressen und -weiterleitungen.";"";"";"E";"STD-T";"01.10.2004";"";"01.10.2004";"";"";2,25;"45917513";"";"";"";"";"";"";"";"";""
"1288";"Versand Inland";2,5862;;"";"";"";"E";"PG-V";"27.11.2004";"";"01.12.2004";"";"";1;"533234615";"";"";"";"";"";"";"";"";""
"1014";"Verlängerung SSL Zertifikat www.dpmedia-shop.de";199;;"";"";"";"Z";"";"24.03.2005";"30.03.2007";"";"";"";1;"71238014";"";"";"";"";"";"";"";"";""
"1194";"Vorregistrierung .eu Sunrise 1";65;;"Domain gesundehunde.eu";"";"";"E";"PRE-EU";"24.11.2005";"";"24.11.2005";"";"";1;"88742616";"";"";"";"";"";"";"";"";""
"1172";"Partnerprovision";516,74;;"";"";"";"E";"PP-E";"21.03.2006";"";"21.03.2006";"";"";1;"991401812";"";"";"";"";"";"";"";"";""
"1103";"Partnerprovision";85,23;;"";"";"";"E";"PP-E";"05.07.2006";"";"05.07.2006";"";"";1;"1041161214";"";"";"";"";"";"";"";"";""
"1210";"zusätzliche MySQL Datenbank";2;;"Datenbank zu Hosting HOS-Swww.lesezirkel.luwww.letzeburger-liesmapp.luwww.letzeburgerliesmapp.lu";"";"";"J";"MYSQL";"01.03.2004";"01.08.2006";"";"";"";1;"2921818";"";"";"";"";"";"";"";"";""
"1234";"Provision";4441,79;;"EP193297";"";"";"E";"";"15.04.2004";"";"15.04.2004";"";"";1;"3172314";"";"";"";"";"";"";"";"";""
"1014";"E-Mailkonfiguration Spamfilter";25,5;;"Summe Mai: 34 Filter             34 Filter   | * 90 sec / Filter=     3.060 sec      | : 60 sec / min=        51 min       | : 60 min / h=      0,85 h        | * 30,00 Euro / h=     25,50 Euro ";"";"";"E";"";"31.05.2004";"";"01.06.2004";"";"";1;"3373913";"";"";"";"";"";"";"";"";""
"1034";"Webentwicklung / Design";35;;"Update www.aspluss.de gem. E-Mail";"";"";"E";"WEB";"30.07.2004";"";"30.07.2004";"";"";1;"3945614";"";"";"";"";"";"";"";"";""
"1014";"Recherche E-Mailproblem";5;;"Recherche nach E-Mail vonglueckskaefer3000@arcor.de";"";"";"E";"RECH-M";"23.11.2004";"";"01.12.2004";"";"";1;"525404012";"";"";"";"";"";"";"";"";""
"1328";"Swinger 2000";42,2414;;"";"";"";"E";"PG-2021";"19.02.2005";"";"31.03.2005";"";"";1;"713351211";"";"";"";"";"";"";"";"";""
"1014";"E-Mailtraffic über Pauschale";14,9;;"Gesamttraffic August 2005 = 5533,09 MB = 5,403 GB";"";"";"E";"TRAF-M";"31.08.2005";"";"01.09.2005";"";"";5;"845402813";"";"";"";"";"";"";"";"";""
"1198";"Partnerprovision";120,52;;"";"";"";"E";"PP-E";"01.08.2006";"";"01.08.2006";"";"";1;"105531313";"";"";"";"";"";"";"";"";""
"1199";"zusätzliche MySQL Datenbank";2;;"MySQL-Datenbank zu www.trialsport-online.de";"";"";"J";"MYSQL";"01.08.2004";"01.04.2007";"";"";"";1;"4222811";"";"";"";"";"";"";"";"";""
"1040";"Webentwicklung / Design";50;;"Update www.voices-allstar.comErstellungen Bildergallerien für 2004 deutsch und englisch";"";"";"E";"WEB";"30.08.2004";"";"30.08.2004";"";"";1;"4232012";"";"";"";"";"";"";"";"";""
"1014";"Allgemeine Dienstleistung";5;;"Recherche E-Maileingangmail@j-grigoleit.de";"";"";"E";"SER";"01.10.2004";"";"01.10.2004";"";"";1;"460194313";"";"";"";"";"";"";"";"";""
"1014";"E-Mailtraffic über Pauschale";14,9;;"Gesamt E-Mailtraffic September 3.929 MB";"";"";"E";"TRAF-M";"01.10.2004";"";"01.10.2004";"";"";3;"46128713";"";"";"";"";"";"";"";"";""
"1243";"SSL Zertifikat";50;;"SSL-Zertifikat für https://ssl.kinderboutique-mohrbach.de";"";"";"G";"SSL";"09.03.2007";"05.04.2008";"";"";"";1;"109855115";"";"";"";"";"";"";"";"";""
"1289";"Phantasms";34,48;;"";"";"";"E";"PG-2016";"23.11.2004";"";"01.12.2004";"";"";1;"534264815";"";"";"";"";"";"";"";"";""
"1311";"TEST";1000;;"";"";"";"E";"";"26.01.2005";"";"26.01.2005";"";"";1;"624464915";"";"";"";"";"";"";"";"";""
"1014";"Webentwicklung / Design";10;;"Änderung Webseite www.dp-media.deErgänzungen Geschäftsführung";"";"";"E";"WEB";"13.12.2005";"";"02.01.2006";"";"";1;"917101715";"";"";"";"";"";"";"";"";""
"1065";".eu Vorregistrierung Sunrise 2";110;;"Sunrise 2 Anträge fürkarolus.eusailer.eusturm.eukaul.euwickert.eu";"";"";"E";"PRE-EU2";"26.02.2006";"";"26.02.2006";"";"";5;"956564915";"";"";"";"";"";"";"";"";""
"1399";"Partnerprovision";17,57;;"";"";"";"E";"PP-E";"31.07.2006";"";"01.08.2006";"";"";1;"1057342114";"";"";"";"";"";"";"";"";""
"1014";".info Registrierung";9,7;;"Registrierung Domain dfl.info vom 25.11.03 - 25.11.063 x Jahresgebühr. Domain war noch nicht abgerechnet";"";"";"G";"REG-INFO";"30.10.2006";"01.04.2007";"";"";"";3;"105642813";"";"";"";"";"";"";"";"";""
"1014";"Anti-Virus for sendmail Postfach";1,41;;"Postfächer:am-halfmann_d01, am-paul, am-paul_m01, balkan.j, balkan.j.privat, dp-batz_a, dp-batz_2, dp-baum_c, dp-baum_c2, dp-bestellung, dp-cornelius_a, dp-cornelius_a2, dp-doehring, dp-druschinski_k, dp-druschinski_k2, dp-ferreira, dp-eulenburg, dp-herting_2, dp-herting_a2, dp-huber, dp-paul_m, dp-strassburger_m, dp-cujko_h01, dp-cujko_h02, dp-dummy, dp-hardes, dp-error, dp-mike4, dp-media.x, dp-paul_d, dp-roos, dp-stauffer_a01, dp-stauffer_a02, dp-tsygankov, ep-halfmann, ep-rauch, gab.o, gessinger.m, gs-eintrag, halfmann.d, halfmann.d.privat, hirth.a, hirth.a.privat,  kaufmann.d, kaufmann.d.privat, nt-eintrag, nt-news, p01akt, p01dh01, p01dk01, p01dk03, p01ffa, p01gw01, p01kdsv, p01mail, p01mg01,  p01news, p01og01, p01out, paul.m, pirro.m, praktikant.1, praktikantin, pw-adresse, pw-baum_c, pw-catchall, pw-cornelius_a, pw-cujko_h01, pw-clicks, pw-inkasso, pw-gutschein, pw-info, pw-rechnung, pw-wietusch, rauch.n, rauch.n.privat, sc-eintrag, theobald.m, theobald.m.privat, wl-eintrag, wl-newsletter, wl-sondernewsGelöschte Postfächer werden ab März 2006 nicht mehr aufgeführt!";"";"31.03.2006";"J";"0035";"01.02.2006";"01.05.2006";"";"";"";84;"252213";"";"";"";"";"";"";"";"";""
"1011";"Webentwicklung / Design";30;;"Update Webseite www.wtbb-steuerberatung.de";"";"";"E";"WEB";"11.11.2005";"";"24.11.2005";"";"";1;"87973512";"";"";"";"";"";"";"";"";""
"1171";"Partnerprovision";555,99;;"";"";"";"E";"PP-E";"28.11.2006";"";"28.11.2006";"";"";1;"1080113016";"";"";"";"";"";"";"";"";""
"1220";"zusätzliche MySQL Datenbank";2;;"MySQL-Datenbank zu www.weller-lehnert.de";"";"";"J";"MYSQL";"01.10.2005";"01.05.2007";"";"";"";1;"880454314";"";"";"";"";"";"";"";"";""
"1302";"Partnerprovision";767,77;;"";"";"";"E";"PP-E";"28.11.2006";"";"28.11.2006";"";"";1;"1081151116";"";"";"";"";"";"";"";"";""
"1274";"Ankauf pharmaxia.com";10200;;"Ankauf pharmaxia.com inkl. Transfer und Abwicklungaller Formalitäten";"";"";"E";"";"01.12.2006";"";"01.12.2006";"";"";1;"108219811";"";"";"";"";"";"";"";"";""
"1302";"Partnerprovision";1116,64;;"";"";"";"E";"PP-E";"14.11.2005";"";"14.11.2005";"";"";1;"88222218";"";"";"";"";"";"";"";"";""
"1034";"Fahrtkosten";40;;"Fahrtkosten St. Wendel - Saarbrücken 20.07.04";"";"";"E";"FAHR";"30.07.2004";"";"30.07.2004";"";"";1;"395015";"";"";"";"";"";"";"";"";""
"1034";"Beratung";30;;"Beratung Programmentwicklung4 Stunden à 30 Euro";"";"";"E";"CONS";"30.07.2004";"";"30.07.2004";"";"";4;"396115";"";"";"";"";"";"";"";"";""
"1388";".es Registrierung Gutschrift";2,6;;"20 Gutschriften .es Registrierung wegenPreissenkung";"";"";"E";"REG-ES";"31.12.0207";"";"11.01.2007";"";"";-20;"1095251113";"";"";"";"";"";"";"";"";""
"1390";"Installationskabel Cat 5e, 100 m Ring";40;;"Lieferung am 12.01.2007";"";"";"E";"";"13.01.2007";"";"17.01.2007";"";"";1;"1096295714";"";"";"";"";"";"";"";"";""
"1405";"Hostingpauschale";11,85;;"Hosting lzw.de vom 01.10.06 - 31.12.06";"";"";"E";"HOS-P16";"07.03.2007";"";"07.03.2007";"";"";3;"1124435414";"";"";"";"";"";"";"";"";""
"1034";"Arbeitsstunde Technik";40;;"26.09.2005   9:0027.09.2005   5:5028.09.2005   3:1029.09.2005   8:1530.09.2005   6:0504.10.2005   6:2505.10.2005   7:1506.10.2005   8:1007.10.2005   7:50";"";"";"E";"STD-T";"13.10.2005";"";"13.10.2005";"";"";62;"86073513";"";"";"";"";"";"";"";"";""
"1160";"Provisionen - Sonstige";33,75;;"Profisellergutschrift";"";"";"E";"PP-S";"02.09.2005";"";"02.09.2005";"";"";1;"848444113";"";"";"";"";"";"";"";"";""
"1014";"E-Mailkonfiguration Spamfilter";60,75;;"Summe Juni 2004: 168 Filter          81 Filter   | * 90 sec / Filter=     7.290 sec      | : 60 sec / min=       121,5 min      | : 60 min / h=       2,025 h        | * 30,00 Euro / h=        60,75 Euro ";"";"";"J";"PROC-M";"31.07.2004";"";"";"";"";1;"3984011";"";"";"";"";"";"";"";"";""
"1014";"Anti-Virus for sendmail Postfach";1,41;;"Gutschrift auf RN 10653 v. 31.03.06Postfächer wurden gelöscht";"";"30.04.2006";"J";"0035";"30.10.2006";"01.05.2006";"";"";"";-84;"1057434113";"";"";"";"";"";"";"";"";""
"1014";"E-Mailtraffic über Pauschale";14,9;;"Gesamttraffic Mai 06 = 1,4 GB";"";"";"E";"TRAF-M";"30.10.2006";"";"30.10.2006";"";"";1;"1059122317";"";"";"";"";"";"";"";"";""
"1014";"E-Mailtraffic über Pauschale";14,9;;"Gesamttraffic Juni 06 = 1,15 GB";"";"";"E";"TRAF-M";"30.10.2006";"";"30.10.2006";"";"";1;"1060174217";"";"";"";"";"";"";"";"";""
"1014";"E-Mailtraffic über Pauschale";14,9;;"Gesamttraffic Juli 06 = 1,51 GB";"";"";"E";"TRAF-M";"30.10.2006";"";"30.10.2006";"";"";1;"1061193717";"";"";"";"";"";"";"";"";""
"1255";"Swinger 2000";42,2414;;"";"";"";"E";"PG-2021";"24.07.2004";"";"02.08.2004";"";"";1;"3991716";"";"";"";"";"";"";"";"";""
"1255";"Versand Inland";2,5862;;"";"";"";"E";"PG-V";"24.07.2004";"";"02.08.2004";"";"";1;"4001816";"";"";"";"";"";"";"";"";""
"1401";"Partnerprovision";36,06;;"";"";"";"E";"PP-E";"04.08.2006";"";"04.08.2006";"";"";1;"105804616";"";"";"";"";"";"";"";"";""
"1252";"Partnerprovision";2,5;;"Bestellung Sascha Reimann vom 01.03.2005";"";"";"E";"PP-E";"01.03.2005";"";"02.05.2005";"";"";1;"746182914";"";"";"";"";"";"";"";"";""
"1252";"Partnerprovision";26,6;;"Bestellung Elke Knauer vom 06.03.2005";"";"";"E";"PP-E";"06.03.2005";"";"02.05.2005";"";"";1;"74720914";"";"";"";"";"";"";"";"";""
"1014";"Recherche E-Mailproblem";5;;"Suche nach E-Mail von mangroove@aol.com";"";"";"E";"RECH-M";"20.12.2005";"";"02.01.2006";"";"";1;"9196710";"";"";"";"";"";"";"";"";""
"1378";"Domainverkauf kostenlostanken.de";200;;"1. Rate";"";"";"E";"";"20.12.2005";"";"22.12.2005";"";"";1;"920155712";"";"";"";"";"";"";"";"";""
"1302";"Partnerprovision";1250,22;;"";"";"";"E";"PP-E";"20.12.2005";"";"20.12.2005";"";"";1;"921552614";"";"";"";"";"";"";"";"";""
"1198";"Werbung swingerclubs.de";318,42;;"Gemäß Ihrer Abrechnung Go-Clicks / ID 387 vom 30.09.2005";"";"";"E";"SC-W";"21.12.2005";"";"21.12.2005";"";"";1;"92211516";"";"";"";"";"";"";"";"";""
"1198";"Werbung swingerclubs.de";279,92;;"Gemäß Ihrer Abrechnung Go-Clicks / ID 387 vom 31.10.2005";"";"";"E";"SC-W";"21.12.2005";"";"21.12.2005";"";"";1;"923133116";"";"";"";"";"";"";"";"";""
"1198";"Werbung swingerclubs.de";158,46;;"Gemäß Ihrer Abrechnung Go-Clicks / ID: 387 vom 25.12.05Zahlung fällig am 31.01.2006";"";"";"E";"SC-W";"27.12.2005";"";"02.01.2006";"";"";1;"9248511";"";"";"";"";"";"";"";"";""
"1335";"Standard Hosting";9,52;;"Hostingpauschale Mai 2005anteilig vom 05.05.05 bis 31.05.0526 Tage zu 0,3663 Euro";"";"";"E";"HOS-S";"04.05.2005";"";"08.07.2005";"";"";1;"752284414";"";"";"";"";"";"";"";"";""
"1252";"Partnerprovision";4,9;;"Bestellung Karsten Heese vom 16.03.2005";"";"";"E";"PP-E";"16.03.2005";"";"02.05.2005";"";"";1;"748205614";"";"";"";"";"";"";"";"";""
"1022";"zusätzliche MySQL Datenbank";1,5;;"zusätzliche MySQL-Datenbank zu www.hwt-entertainment/termine";"";"";"J";"MYSQL";"01.05.2005";"01.07.2005";"";"";"";1;"750291214";"";"";"";"";"";"";"";"";""
"1040";"Webentwicklung / Design";550;;"Installation XTC auf artists.live-concept.deEntfernen der ShoppingfunktionenAnpassen des Layouts";"";"";"E";"WEB";"04.08.2004";"";"05.08.2004";"";"";1;"4011411";"";"";"";"";"";"";"";"";""
"1172";"Partnerprovision";392,19;;"";"";"";"E";"PP-E";"07.09.2006";"";"07.09.2006";"";"";1;"1034445314";"";"";"";"";"";"";"";"";""
"1194";"zusätzlicher Festplattenspeicher 50 MB";1,7241;;"Gesamtfestplattenspeicher www.gesundehunde.comJuni 2004 = 406 MBim Grundtarif enthaltener Speicherplatz 300 MB";"";"";"E";"FEST";"30.06.2004";"";"06.07.2004";"";"";3;"3642812";"";"";"";"";"";"";"";"";""
"1311";"TEST 2";1000;;"";"";"";"E";"";"26.01.2005";"";"26.01.2005";"";"";1;"62562016";"";"";"";"";"";"";"";"";""
"1311";"TEST 3";1000;;"";"";"";"E";"";"26.01.2005";"";"26.01.2005";"";"";1;"626165016";"";"";"";"";"";"";"";"";""
"1311";"TEST 4";10;;"";"";"";"E";"";"26.01.2005";"";"26.01.2005";"";"";1;"62721416";"";"";"";"";"";"";"";"";""
"1311";"TEST %";4;;"";"";"";"E";"";"26.01.2005";"";"26.01.2005";"";"";1;"62857216";"";"";"";"";"";"";"";"";""
"1181";"Hardware";84,49;;"Festplatte Seagate 200 GB U 100 3200822A";"";"";"E";"HW";"27.01.2005";"";"27.01.2005";"";"";1;"629461011";"";"";"";"";"";"";"";"";""
"1181";"Versandkostenanteil";3;;"";"";"";"E";"";"27.01.2005";"";"27.01.2005";"";"";1;"630464811";"";"";"";"";"";"";"";"";""
"1014";"E-Mailtraffic über Pauschale";14,9;;"Gesamtmailtraffic Januar 06 = 4664,13 MB";"";"";"E";"TRAF-M";"31.01.2006";"";"01.02.2006";"";"";4;"956281313";"";"";"";"";"";"";"";"";""
"1389";"Werbeklick Textlink";87,29;;"AdSense Klicks gem. Zahlungsprotokoll";"";"";"E";"CLICK-T";"08.09.2006";"";"08.09.2006";"";"";1;"1035475514";"";"";"";"";"";"";"";"";""
"1006";"Hostingpauschale 01.03.07 bis 31.03.07";9,7;;"opus-kulturmagazin.de";"";"";"E";"0026";"01.03.2007";"";"14.03.2007";"";"";1;"1087122715";"";"";"";"";"";"";"";"";""
"1065";".ch Nameservice und Abwicklung";6;;"Domain: cooltooth.ch";"";"";"G";"DNS-CH";"18.01.2005";"28.01.2008";"";"";"";1;"631541911";"";"";"";"";"";"";"";"";""
"1014";"Recherche E-Mailproblem";5;;"Suche nach E-Mail von int@lachi.de";"";"";"E";"RECH-M";"25.01.2005";"";"01.02.2005";"";"";1;"633424013";"";"";"";"";"";"";"";"";""
"1074";"Serverhousing";40,23;;"Serverhousing gekündigt mit Ablauf des 31.07.2004mit RNr. 8585 v. 23.06.04 abgerechnet bis 24.07.04Endabrechnung 25.07.04 - 31.07.04172,41 / 30 * 7 = 40,23";"";"";"E";"SERV-H";"06.07.2004";"";"06.07.2004";"";"";1;"3663311";"";"";"";"";"";"";"";"";""
"1110";"Webentwicklung / Design";360;;"Update Ihrer Internetseite www.gaswerk-illingen.degemäß Angebot vom 23.07.2004";"";"";"E";"WEB";"24.08.2004";"";"24.08.2004";"";"";1;"4193914";"";"";"";"";"";"";"";"";""
"1289";"Partnerschaftskalender";12,93;;"";"";"";"E";"PG-2025";"23.11.2004";"";"01.12.2004";"";"";1;"535291615";"";"";"";"";"";"";"";"";""
"1290";"Swinger 2000";42,2414;;"";"";"";"E";"PG-2021";"11.11.2004";"";"01.12.2004";"";"";1;"536312015";"";"";"";"";"";"";"";"";""
"1290";"Versand Inland";2,5862;;"";"";"";"E";"PG-V";"11.11.2004";"";"01.12.2004";"";"";1;"537313815";"";"";"";"";"";"";"";"";""
"1290";"Nachnahmezuschlag Versand Inland";2,5862;;"";"";"";"E";"PG-VN";"11.11.2004";"";"01.12.2004";"";"";1;"538315115";"";"";"";"";"";"";"";"";""
"1171";"Partnerprovision";371,5517;;"";"";"";"E";"PP-E";"15.11.2004";"";"01.12.2004";"";"";1;"539435115";"";"";"";"";"";"";"";"";""
"1168";"Partnerprovision";1121,52;;"EP309327";"";"";"E";"PP-E";"17.11.2004";"";"03.12.2004";"";"";1;"540225817";"";"";"";"";"";"";"";"";""
"1194";".net Registrierung Gutschrift";-1,3;;"Gutschrift für gesundehunde.net wegenÜberberechnung in Juli 2004";"";"";"E";"REG-NET";"01.08.2004";"";"12.08.2004";"";"";1;"390113";"";"";"";"";"";"";"";"";""
"1194";".ch Nameservice und Abwicklung";8;;"Domain gesunde-hunde.ch";"";"";"G";"DNS-CH";"10.07.2004";"12.07.2007";"";"";"";1;"3662912";"";"";"";"";"";"";"";"";""
